,cat,concept,typicality
683,10,349,5.15736335136606
684,10,365,4.00874505405278
685,10,375,5.583244889343006
686,10,378,3.9653292610703708
687,10,386,6.335020602711895
688,10,400,7.311917447439853
689,10,408,4.725466966669453
690,10,412,7.818870162970393
691,10,413,6.781254389798879
692,10,415,5.045393380718414
693,10,421,4.726898847570127
694,10,428,6.261846008437134
695,10,429,7.029303823098772
696,10,430,5.407841901540144
697,10,434,4.621772156295112
698,10,437,5.949402500941547
699,10,439,5.157024685989848
700,10,440,5.096157458158953
701,10,442,6.465522976315995
702,10,445,5.226628030264003
703,10,451,4.141504980226896
704,10,457,7.011023299506503
705,10,461,6.828906015691167
706,10,464,5.041533006301858
707,10,481,7.422437895833907
708,10,487,6.124200643702669
709,10,505,7.420359063142048
710,10,513,5.228422351739686
711,10,532,5.82698932171338
712,10,543,4.291238233288956
713,10,544,4.68765519295728
714,10,545,3.288808517863399
715,10,546,7.702894542796036
716,10,547,6.193519871703704
717,10,550,5.887601010973444
718,10,556,6.819460611792948
719,10,572,7.197053849596285
720,10,581,4.568403950860666
721,10,600,7.3794289325273645
722,10,609,4.069247773699686
723,10,618,5.642865283567852
724,10,626,4.8692254709459855
725,10,641,7.915213470831127
726,10,645,7.890045310826701
727,10,646,4.837428428469476
728,10,647,5.445306433138769
729,10,658,5.854212285580803
730,10,673,4.316075669176199
731,10,674,4.876497335863339
732,10,684,3.4518165779106793
733,10,693,3.6526944733321636
734,10,698,5.390574925353424
735,10,701,5.989146060802876
736,10,702,7.214298933957427
737,10,703,6.3616836721077075
738,10,711,6.148689488693813
739,10,712,7.131840715860867
740,10,717,5.483984312190715
741,10,719,6.372075381663578
742,10,724,3.9732722088979573
743,10,725,3.632631053039767
744,10,726,4.277384221441563
745,10,730,5.602586714792489
746,10,739,7.731635631830849
747,10,740,8.506205983245097
748,10,756,4.497772161256762
749,10,788,6.034927065798834
750,10,805,7.764487762545302
751,10,812,5.564398347123406
752,10,817,7.205914189594985
753,10,820,5.988825104168919
754,10,838,5.275626903079726
